Seed,Abolish,Rule
208,176,Open
209,109,Random
210,169,Open
211,158,Sudden Death
212,90,Plus
213,11,Open
214,70,Plus
215,112,Random
216,128,Sudden Death
217,182,Open
218,207,Same Wall
219,71,Plus
220,12,Open
221,166,Open
222,165,Open
223,42,Same
224,216,Same Wall
225,172,Open
226,251,Elemental
227,160,Open
228,235,Elemental
229,183,Open
230,121,Random
231,36,Same
232,114,Random
233,35,Same
234,146,Sudden Death
235,72,Plus
236,128,Sudden Death
237,197,Same Wall
238,166,Open
239,167,Open
240,133,Sudden Death
241,183,Open
242,215,Same Wall
243,140,Sudden Death
244,144,Sudden Death
245,228,Elemental
246,171,Open
247,99,Random
248,68,Plus
249,82,Plus
250,102,Random
251,227,Elemental
252,156,Sudden Death
253,51,Same
254,37,Same
255,249,Elemental
256,94,Plus
257,170,Open
258,186,Open
259,115,Random
260,96,Random
261,93,Plus
262,75,Plus
263,113,Random
264,126,Random
265,190,Open
266,169,Open
267,140,Sudden Death
268,87,Plus
269,25,Open
270,113,Random
271,195,Same Wall
272,202,Same Wall
273,94,Plus
274,229,Elemental
275,42,Same
276,51,Same
277,172,Open
278,136,Sudden Death
279,81,Plus
280,102,Random
281,161,Open
282,123,Random
283,117,Random
284,103,Random
285,100,Random
286,154,Sudden Death
287,105,Random
288,239,Elemental
289,111,Random
290,86,Plus
291,66,Plus
292,160,Open
293,29,Open
294,81,Plus
295,197,Same Wall
296,2,Open
297,247,Elemental
298,187,Open
299,146,Sudden Death
300,69,Plus
301,190,Open
302,111,Random
303,13,Open
304,182,Open
305,56,Same
306,204,Same Wall
307,16,Open
308,253,Elemental
309,187,Open
310,84,Plus
311,81,Plus
312,28,Open
313,123,Random
314,7,Open
315,148,Sudden Death
316,39,Same
317,147,Sudden Death
318,125,Random
319,146,Sudden Death
320,195,Same Wall
321,212,Same Wall
322,198,Same Wall
323,165,Open
324,97,Random
325,81,Plus
326,1,Open
327,56,Same
328,56,Same
329,167,Open
330,191,Open
331,241,Elemental
332,4,Open
333,13,Open
334,21,Open
335,155,Sudden Death
336,128,Sudden Death
337,31,Open
338,131,Sudden Death
339,213,Same Wall
340,164,Open
341,105,Random
342,136,Sudden Death
343,124,Random
344,159,Sudden Death
345,182,Open
346,1,Open
347,218,Same Wall
348,147,Sudden Death
349,23,Open
350,69,Plus
351,139,Sudden Death
352,18,Open
353,178,Open
354,2,Open
355,51,Same
356,92,Plus
357,80,Plus
358,214,Same Wall
359,225,Elemental
360,86,Plus
361,164,Open
362,173,Open
363,66,Plus
364,74,Plus
365,92,Plus
366,221,Same Wall
367,134,Sudden Death
368,97,Random
369,233,Elemental
370,3,Open
371,18,Open
372,225,Elemental
373,15,Open
374,155,Sudden Death
375,234,Elemental
376,38,Same
377,44,Same
378,97,Random
379,220,Same Wall
380,98,Random
381,72,Plus
382,107,Random
383,109,Random
384,20,Open
385,224,Elemental
386,3,Open
387,133,Sudden Death
388,74,Plus
389,114,Random
390,70,Plus
391,218,Same Wall
392,150,Sudden Death
393,200,Same Wall
394,125,Random
395,28,Open
396,209,Same Wall
397,5,Open
398,62,Same
399,229,Elemental
400,146,Sudden Death
401,112,Random
402,67,Plus
403,95,Plus
404,108,Random
405,3,Open
406,5,Open
407,179,Open
408,235,Elemental
409,179,Open
410,32,Same
411,53,Same
412,77,Plus
413,126,Random
414,102,Random
415,80,Plus
416,1,Open
417,54,Same
418,192,Same Wall
419,51,Same
420,225,Elemental
421,15,Open
422,201,Same Wall
423,56,Same
424,46,Same
425,233,Elemental
426,41,Same
427,25,Open
428,79,Plus
429,94,Plus
430,177,Open
431,209,Same Wall
432,73,Plus
433,139,Sudden Death
434,59,Same
435,83,Plus
436,253,Elemental
437,159,Sudden Death
438,63,Same
439,238,Elemental
440,37,Same
441,37,Same
442,53,Same
443,123,Random
444,13,Open
445,17,Open
446,175,Open
447,76,Plus
448,17,Open
449,140,Sudden Death
450,50,Same
451,212,Same Wall
452,218,Same Wall
453,127,Random
454,216,Same Wall
455,22,Open
456,87,Plus
457,225,Elemental
458,166,Open
459,206,Same Wall
460,125,Random
461,193,Same Wall
462,174,Open
463,98,Random
464,191,Open
465,19,Open
466,228,Elemental
467,135,Sudden Death
468,76,Plus
469,58,Same
470,193,Same Wall
471,179,Open
472,12,Open
473,89,Plus
474,153,Sudden Death
475,71,Plus
476,88,Plus
477,90,Plus
478,189,Open
479,120,Random
480,124,Random
481,186,Open
482,80,Plus
483,1,Open
484,237,Elemental
485,27,Open
486,234,Elemental
487,138,Sudden Death
488,73,Plus
489,136,Sudden Death
490,238,Elemental
491,214,Same Wall
492,20,Open
493,133,Sudden Death
494,171,Open
495,176,Open
496,44,Same
497,222,Same Wall
498,53,Same
499,147,Sudden Death
500,17,Open
501,45,Same
502,1,Open
503,28,Open
504,215,Same Wall
505,40,Same
506,67,Plus
507,48,Same
508,231,Elemental
509,176,Open
510,8,Open
511,237,Elemental
512,121,Random
513,153,Sudden Death
514,19,Open
515,81,Plus
516,210,Same Wall
517,58,Same
518,119,Random
519,173,Open
520,61,Same
521,180,Open
522,248,Elemental
523,199,Same Wall
524,202,Same Wall
525,3,Open
526,34,Same
527,210,Same Wall
528,201,Same Wall
529,198,Same Wall
530,39,Same
531,15,Open
532,4,Open
533,206,Same Wall
534,122,Random
535,63,Same
536,192,Same Wall
537,104,Random
538,44,Same
539,207,Same Wall
540,114,Random
541,106,Random
542,9,Open
543,194,Same Wall
544,66,Plus
545,0,Open
546,114,Random
547,94,Plus
548,65,Plus
549,52,Same
550,248,Elemental
551,150,Sudden Death
552,105,Random
553,63,Same
554,189,Open
555,58,Same
556,88,Plus
557,145,Sudden Death
558,139,Sudden Death
559,225,Elemental
560,204,Same Wall
561,162,Open
562,177,Open
563,146,Sudden Death
564,221,Same Wall
565,119,Random
566,161,Open
567,53,Same
568,254,Elemental
569,243,Elemental
570,75,Plus
571,188,Open
572,177,Open
573,227,Elemental
574,55,Same
575,17,Open
576,13,Open
577,199,Same Wall
578,101,Random
579,190,Open
580,241,Elemental
581,97,Random
582,229,Elemental
583,94,Plus
584,6,Open
585,255,Elemental
586,53,Same
587,199,Same Wall
588,118,Random
589,137,Sudden Death
590,93,Plus
591,244,Elemental
592,110,Random
593,74,Plus
594,204,Same Wall
595,181,Open
596,84,Plus
597,126,Random
598,241,Elemental
599,21,Open
600,200,Same Wall
601,160,Open
602,153,Sudden Death
603,143,Sudden Death
604,92,Plus
605,112,Random
606,11,Open
607,239,Elemental
608,20,Open
609,198,Same Wall
610,229,Elemental
611,10,Open
612,156,Sudden Death
613,25,Open
614,180,Open
615,29,Open
616,76,Plus
617,206,Same Wall
618,86,Plus
619,6,Open
620,220,Same Wall
621,66,Plus
622,17,Open
623,37,Same
624,231,Elemental
625,150,Sudden Death
626,111,Random
627,15,Open
628,33,Same
629,61,Same
630,223,Same Wall
631,249,Elemental
632,87,Plus
633,71,Plus
634,13,Open
635,223,Same Wall
636,43,Same
637,106,Random
638,252,Elemental
639,119,Random
640,141,Sudden Death
641,213,Same Wall
642,233,Elemental
643,217,Same Wall
644,249,Elemental
645,181,Open
646,224,Elemental
647,235,Elemental
648,114,Random
649,132,Sudden Death
650,26,Open
651,142,Sudden Death
652,66,Plus
653,20,Open
654,29,Open
655,138,Sudden Death
656,110,Random
657,95,Plus
658,146,Sudden Death
659,58,Same
660,251,Elemental
661,11,Open
662,229,Elemental
663,246,Elemental
664,228,Elemental
665,192,Same Wall
666,159,Sudden Death
667,69,Plus
668,214,Same Wall
669,42,Same
670,131,Sudden Death
671,191,Open
672,177,Open
673,205,Same Wall
674,106,Random
675,196,Same Wall
676,191,Open
677,140,Sudden Death
678,222,Same Wall
679,223,Same Wall
680,178,Open
681,247,Elemental
682,121,Random
683,247,Elemental
684,96,Random
685,87,Plus
686,252,Elemental
687,59,Same
688,61,Same
689,123,Random
690,46,Same
691,203,Same Wall
692,156,Sudden Death
693,65,Plus
694,123,Random
695,39,Same
696,165,Open
697,227,Elemental
698,72,Plus
699,88,Plus
700,21,Open
701,7,Open
702,23,Open
703,224,Elemental
704,185,Open
705,133,Sudden Death
706,95,Plus
707,99,Random
708,168,Open
709,246,Elemental
710,41,Same
711,18,Open
712,67,Plus
713,0,Open
714,106,Random
715,219,Same Wall
716,238,Elemental
717,100,Random
718,36,Same
719,82,Plus
720,139,Sudden Death
721,196,Same Wall
722,59,Same
723,93,Plus
724,187,Open
725,53,Same
726,24,Open
727,162,Open
728,211,Same Wall
729,137,Sudden Death
730,255,Elemental
731,178,Open
732,160,Open
733,89,Plus
734,48,Same
735,242,Elemental
736,219,Same Wall
737,213,Same Wall
738,193,Same Wall
739,77,Plus
740,106,Random
741,75,Plus
742,54,Same
743,156,Sudden Death
744,93,Plus
745,120,Random
746,230,Elemental
747,208,Same Wall
748,163,Open
749,146,Sudden Death
750,13,Open
751,229,Elemental
752,144,Sudden Death
753,17,Open
754,176,Open
755,134,Sudden Death
756,15,Open
757,65,Plus
758,52,Same
759,128,Sudden Death
760,166,Open
761,137,Sudden Death
762,189,Open
763,233,Elemental
764,47,Same
765,120,Random
766,71,Plus
767,13,Open
768,80,Plus
769,149,Sudden Death
770,135,Sudden Death
771,27,Open
772,191,Open
773,227,Elemental
774,127,Random
775,148,Sudden Death
776,55,Same
777,54,Same
778,228,Elemental
779,111,Random
780,57,Same
781,56,Same
782,47,Same
783,12,Open
784,131,Sudden Death
785,58,Same
786,133,Sudden Death
787,223,Same Wall
788,81,Plus
789,188,Open
790,72,Plus
791,217,Same Wall
792,86,Plus
793,187,Open
794,121,Random
795,149,Sudden Death
796,121,Random
797,189,Open
798,212,Same Wall
799,72,Plus
800,80,Plus
801,157,Sudden Death
802,169,Open
803,101,Random
804,93,Plus
805,23,Open
806,124,Random
807,19,Open
808,11,Open
809,18,Open
810,92,Plus
811,79,Plus
812,103,Random
813,176,Open
814,4,Open
815,225,Elemental
816,158,Sudden Death
817,24,Open
818,179,Open
819,0,Open
820,58,Same
821,254,Elemental
822,203,Same Wall
823,196,Same Wall
824,28,Open
825,247,Elemental
826,43,Same
827,80,Plus
828,56,Same
829,126,Random
830,78,Plus
831,187,Open
832,19,Open
833,197,Same Wall
834,32,Same
835,195,Same Wall
836,254,Elemental
837,61,Same
838,164,Open
839,48,Same
840,15,Open
841,228,Elemental
842,71,Plus
843,10,Open
844,228,Elemental
845,82,Plus
846,1,Open
847,122,Random
848,23,Open
849,129,Sudden Death
850,49,Same
851,128,Sudden Death
852,128,Sudden Death
853,95,Plus
854,53,Same
855,90,Plus
856,45,Same
857,21,Open
858,204,Same Wall
859,176,Open
860,34,Same
861,21,Open
862,45,Same
863,128,Sudden Death
864,209,Same Wall
865,230,Elemental
866,228,Elemental
867,204,Same Wall
868,88,Plus
869,175,Open
870,111,Random
871,5,Open
872,125,Random
873,133,Sudden Death
874,156,Sudden Death
875,53,Same
876,106,Random
877,116,Random
878,160,Open
879,240,Elemental
880,40,Same
881,79,Plus
882,247,Elemental
883,249,Elemental
884,220,Same Wall
885,56,Same
886,0,Open
887,179,Open
888,196,Same Wall
889,238,Elemental
890,84,Plus
891,78,Plus
892,241,Elemental
893,217,Same Wall
894,234,Elemental
895,173,Open
896,194,Same Wall
897,215,Same Wall
898,235,Elemental
899,25,Open
900,36,Same
901,196,Same Wall
902,86,Plus
903,168,Open
904,139,Sudden Death
905,203,Same Wall
906,84,Plus
907,107,Random
908,175,Open
909,112,Random
910,88,Plus
911,90,Plus
912,7,Open
913,89,Plus
914,254,Elemental
915,0,Open
916,6,Open
917,223,Same Wall
918,161,Open
919,230,Elemental
920,24,Open
921,89,Plus
922,186,Open
923,193,Same Wall
924,91,Plus
925,35,Same
926,252,Elemental
927,91,Plus
928,30,Open
929,112,Random
930,48,Same
931,66,Plus
932,26,Open
933,212,Same Wall
934,208,Same Wall
935,50,Same
936,114,Random
937,144,Sudden Death
938,102,Random
939,66,Plus
940,108,Random
941,157,Sudden Death
942,162,Open
943,209,Same Wall
944,237,Elemental
945,119,Random
946,62,Same
947,48,Same
948,182,Open
949,174,Open
950,146,Sudden Death
951,13,Open
952,97,Random
953,46,Same
954,246,Elemental
955,162,Open
956,26,Open
957,73,Plus
958,219,Same Wall
959,161,Open
960,29,Open
961,137,Sudden Death
962,168,Open
963,222,Same Wall
964,242,Elemental
965,56,Same
966,86,Plus
967,186,Open
968,107,Random
969,171,Open
970,202,Same Wall
971,83,Plus
972,90,Plus
973,83,Plus
974,246,Elemental
975,109,Random
976,19,Open
977,129,Sudden Death
978,174,Open
979,31,Open
980,165,Open
981,252,Elemental
982,74,Plus
983,61,Same
984,215,Same Wall
985,69,Plus
986,1,Open
987,137,Sudden Death
988,228,Elemental
989,164,Open
990,0,Open
991,152,Sudden Death
992,246,Elemental
993,251,Elemental
994,77,Plus
995,134,Sudden Death
996,100,Random
997,70,Plus
998,95,Plus
999,89,Plus
1000,172,Open
